RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1467331,2021-12-13 12:55:45.2500845,7045,Info,Service Control Manager,System,580,4544,rootdc1.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,A new service was installed in the system,,,Name: BTOBTO,StartType: demand start,Account: LocalSystem,,,,%COMSPEC% /Q /c echo cd  ^&gt; \\127.0.0.1\C$\__output 2^&gt;^&amp;1 &gt; %TEMP%\execute.bat &amp; %COMSPEC% /Q /c %TEMP%\execute.bat &amp; del %TEMP%\execute.bat,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1543.003-Create or Modify System Process-Windows Service\ID7045-4697-SMBexec service registration.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""ServiceName"",""#text"":""BTOBTO""},{""@Name"":""ImagePath"",""#text"":""%COMSPEC% /Q /c echo cd  ^&gt; \\\\127.0.0.1\\C$\\__output 2^&gt;^&amp;1 &gt; %TEMP%\\execute.bat &amp; %COMSPEC% /Q /c %TEMP%\\execute.bat &amp; del %TEMP%\\execute.bat""},{""@Name"":""ServiceType"",""#text"":""user mode service""},{""@Name"":""StartType"",""#text"":""demand start""},{""@Name"":""AccountName"",""#text"":""LocalSystem""}]}}"
2,236864754,2021-12-13 12:55:45.2509055,4697,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,4516,rootdc1.offsec.lan,0,,A service was installed on the system,OFFSEC\admmig,,ServiceName: BTOBTO,ServiceFileName: %COMSPEC% /Q /c echo cd  ^&gt; \\127.0.0.1\C$\__output 2^&gt;^&amp;1 &gt; %TEMP%\execute.bat &amp; %COMSPEC% /Q /c %TEMP%\execute.bat &amp; del %TEMP%\execute.bat,ServiceType: Win32 Own Process,ServiceStartType: Manual,ServiceAccount: LocalSystem,,,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1543.003-Create or Modify System Process-Windows Service\ID7045-4697-SMBexec service registration.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x2CFF42B44""},{""@Name"":""ServiceName"",""#text"":""BTOBTO""},{""@Name"":""ServiceFileName"",""#text"":""%COMSPEC% /Q /c echo cd  ^&gt; \\\\127.0.0.1\\C$\\__output 2^&gt;^&amp;1 &gt; %TEMP%\\execute.bat &amp; %COMSPEC% /Q /c %TEMP%\\execute.bat &amp; del %TEMP%\\execute.bat""},{""@Name"":""ServiceType"",""#text"":""0x10""},{""@Name"":""ServiceStartType"",""#text"":""3""},{""@Name"":""ServiceAccount"",""#text"":""LocalSystem""}]}}"
