RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,58852,2020-07-15 11:31:20.4945241,33205,LogAlways,MSSQL$RADAR,Application,0,0,mssql01.offsec.lan,0,,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID33205-SQL Server failed login because only Windows auth.evtx,0x90000000000000,0,"{""EventData"":{""Data"":""audit_schema_version:1\nevent_time:2020-07-15 11:31:15.6737961\nsequence_number:1\naction_id:LGIF\nsucceeded:false\nis_column_permission:false\nsession_id:0\nserver_principal_id:0\ndatabase_principal_id:0\ntarget_server_principal_id:0\ntarget_database_principal_id:0\nobject_id:0\nuser_defined_event_id:0\nclass_type:LX\npermission_bitmask:00000000000000000000000000000000\nsequence_group_id:1CD0633E-91AB-422C-98BC-CA2DCB10FD91\nsession_server_principal_name:\nserver_principal_name:unexisting-user\nserver_principal_sid:\ndatabase_principal_name:\ntarget_server_principal_name:\ntarget_server_principal_sid:\ntarget_database_principal_name:\nserver_instance_name:MSSQL01\\RADAR\ndatabase_name:\nschema_name:\nobject_name:\nstatement:Login failed for user 'unexisting-user'. Reason: An attempt to login using SQL authentication failed. Server is configured for Windows authentication only. [CLIENT: 10.23.23.9]\nadditional_information:&lt;action_info xmlns=\""http://schemas.microsoft.com/sqlserver/2008/sqlaudit_data\""&gt;&lt;pooled_connection&gt;0&lt;/pooled_connection&gt;&lt;error&gt;0x00004818&lt;/error&gt;&lt;state&gt;58&lt;/state&gt;&lt;address&gt;10.23.23.9&lt;/address&gt;&lt;/action_info&gt;\nuser_defined_information:\n"",""Binary"":""""}}"
2,58853,2020-07-15 11:31:20.4945241,33205,LogAlways,MSSQL$RADAR,Application,0,0,mssql01.offsec.lan,0,,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID33205-SQL Server failed login because only Windows auth.evtx,0x90000000000000,0,"{""EventData"":{""Data"":""audit_schema_version:1\nevent_time:2020-07-15 11:31:18.5450700\nsequence_number:1\naction_id:LGIF\nsucceeded:false\nis_column_permission:false\nsession_id:0\nserver_principal_id:0\ndatabase_principal_id:0\ntarget_server_principal_id:0\ntarget_database_principal_id:0\nobject_id:0\nuser_defined_event_id:0\nclass_type:LX\npermission_bitmask:00000000000000000000000000000000\nsequence_group_id:8FBCF3CF-D24E-4084-B74F-39D413F2494B\nsession_server_principal_name:\nserver_principal_name:unexisting-user\nserver_principal_sid:\ndatabase_principal_name:\ntarget_server_principal_name:\ntarget_server_principal_sid:\ntarget_database_principal_name:\nserver_instance_name:MSSQL01\\RADAR\ndatabase_name:\nschema_name:\nobject_name:\nstatement:Login failed for user 'unexisting-user'. Reason: An attempt to login using SQL authentication failed. Server is configured for Windows authentication only. [CLIENT: 10.23.23.9]\nadditional_information:&lt;action_info xmlns=\""http://schemas.microsoft.com/sqlserver/2008/sqlaudit_data\""&gt;&lt;pooled_connection&gt;0&lt;/pooled_connection&gt;&lt;error&gt;0x00004818&lt;/error&gt;&lt;state&gt;58&lt;/state&gt;&lt;address&gt;10.23.23.9&lt;/address&gt;&lt;/action_info&gt;\nuser_defined_information:\n"",""Binary"":""""}}"
3,58854,2020-07-15 11:31:20.4945241,33205,LogAlways,MSSQL$RADAR,Application,0,0,mssql01.offsec.lan,0,,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID33205-SQL Server failed login because only Windows auth.evtx,0x90000000000000,0,"{""EventData"":{""Data"":""audit_schema_version:1\nevent_time:2020-07-15 11:31:19.4476377\nsequence_number:1\naction_id:LGIF\nsucceeded:false\nis_column_permission:false\nsession_id:0\nserver_principal_id:0\ndatabase_principal_id:0\ntarget_server_principal_id:0\ntarget_database_principal_id:0\nobject_id:0\nuser_defined_event_id:0\nclass_type:LX\npermission_bitmask:00000000000000000000000000000000\nsequence_group_id:B6A035D2-1D13-42D3-A234-81597C35F5C1\nsession_server_principal_name:\nserver_principal_name:unexisting-user\nserver_principal_sid:\ndatabase_principal_name:\ntarget_server_principal_name:\ntarget_server_principal_sid:\ntarget_database_principal_name:\nserver_instance_name:MSSQL01\\RADAR\ndatabase_name:\nschema_name:\nobject_name:\nstatement:Login failed for user 'unexisting-user'. Reason: An attempt to login using SQL authentication failed. Server is configured for Windows authentication only. [CLIENT: 10.23.23.9]\nadditional_information:&lt;action_info xmlns=\""http://schemas.microsoft.com/sqlserver/2008/sqlaudit_data\""&gt;&lt;pooled_connection&gt;0&lt;/pooled_connection&gt;&lt;error&gt;0x00004818&lt;/error&gt;&lt;state&gt;58&lt;/state&gt;&lt;address&gt;10.23.23.9&lt;/address&gt;&lt;/action_info&gt;\nuser_defined_information:\n"",""Binary"":""""}}"
4,58855,2020-07-15 11:31:20.4945241,33205,LogAlways,MSSQL$RADAR,Application,0,0,mssql01.offsec.lan,0,,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID33205-SQL Server failed login because only Windows auth.evtx,0x90000000000000,0,"{""EventData"":{""Data"":""audit_schema_version:1\nevent_time:2020-07-15 11:31:20.1976307\nsequence_number:1\naction_id:LGIF\nsucceeded:false\nis_column_permission:false\nsession_id:0\nserver_principal_id:0\ndatabase_principal_id:0\ntarget_server_principal_id:0\ntarget_database_principal_id:0\nobject_id:0\nuser_defined_event_id:0\nclass_type:LX\npermission_bitmask:00000000000000000000000000000000\nsequence_group_id:B0CAB900-08FC-444C-8F2A-0FB5A423DBE3\nsession_server_principal_name:\nserver_principal_name:unexisting-user\nserver_principal_sid:\ndatabase_principal_name:\ntarget_server_principal_name:\ntarget_server_principal_sid:\ntarget_database_principal_name:\nserver_instance_name:MSSQL01\\RADAR\ndatabase_name:\nschema_name:\nobject_name:\nstatement:Login failed for user 'unexisting-user'. Reason: An attempt to login using SQL authentication failed. Server is configured for Windows authentication only. [CLIENT: 10.23.23.9]\nadditional_information:&lt;action_info xmlns=\""http://schemas.microsoft.com/sqlserver/2008/sqlaudit_data\""&gt;&lt;pooled_connection&gt;0&lt;/pooled_connection&gt;&lt;error&gt;0x00004818&lt;/error&gt;&lt;state&gt;58&lt;/state&gt;&lt;address&gt;10.23.23.9&lt;/address&gt;&lt;/action_info&gt;\nuser_defined_information:\n"",""Binary"":""""}}"
5,58858,2020-07-15 11:31:25.5051973,33205,LogAlways,MSSQL$RADAR,Application,0,0,mssql01.offsec.lan,0,,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID33205-SQL Server failed login because only Windows auth.evtx,0x90000000000000,0,"{""EventData"":{""Data"":""audit_schema_version:1\nevent_time:2020-07-15 11:31:20.8277287\nsequence_number:1\naction_id:LGIF\nsucceeded:false\nis_column_permission:false\nsession_id:0\nserver_principal_id:0\ndatabase_principal_id:0\ntarget_server_principal_id:0\ntarget_database_principal_id:0\nobject_id:0\nuser_defined_event_id:0\nclass_type:LX\npermission_bitmask:00000000000000000000000000000000\nsequence_group_id:C66D2BEE-0D15-42C3-BE31-77A903625339\nsession_server_principal_name:\nserver_principal_name:unexisting-user\nserver_principal_sid:\ndatabase_principal_name:\ntarget_server_principal_name:\ntarget_server_principal_sid:\ntarget_database_principal_name:\nserver_instance_name:MSSQL01\\RADAR\ndatabase_name:\nschema_name:\nobject_name:\nstatement:Login failed for user 'unexisting-user'. Reason: An attempt to login using SQL authentication failed. Server is configured for Windows authentication only. [CLIENT: 10.23.23.9]\nadditional_information:&lt;action_info xmlns=\""http://schemas.microsoft.com/sqlserver/2008/sqlaudit_data\""&gt;&lt;pooled_connection&gt;0&lt;/pooled_connection&gt;&lt;error&gt;0x00004818&lt;/error&gt;&lt;state&gt;58&lt;/state&gt;&lt;address&gt;10.23.23.9&lt;/address&gt;&lt;/action_info&gt;\nuser_defined_information:\n"",""Binary"":""""}}"
6,58859,2020-07-15 11:31:25.5051973,33205,LogAlways,MSSQL$RADAR,Application,0,0,mssql01.offsec.lan,0,,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID33205-SQL Server failed login because only Windows auth.evtx,0x90000000000000,0,"{""EventData"":{""Data"":""audit_schema_version:1\nevent_time:2020-07-15 11:31:21.4742828\nsequence_number:1\naction_id:LGIF\nsucceeded:false\nis_column_permission:false\nsession_id:0\nserver_principal_id:0\ndatabase_principal_id:0\ntarget_server_principal_id:0\ntarget_database_principal_id:0\nobject_id:0\nuser_defined_event_id:0\nclass_type:LX\npermission_bitmask:00000000000000000000000000000000\nsequence_group_id:36F401A9-A994-4706-9666-A9886749FDBB\nsession_server_principal_name:\nserver_principal_name:unexisting-user\nserver_principal_sid:\ndatabase_principal_name:\ntarget_server_principal_name:\ntarget_server_principal_sid:\ntarget_database_principal_name:\nserver_instance_name:MSSQL01\\RADAR\ndatabase_name:\nschema_name:\nobject_name:\nstatement:Login failed for user 'unexisting-user'. Reason: An attempt to login using SQL authentication failed. Server is configured for Windows authentication only. [CLIENT: 10.23.23.9]\nadditional_information:&lt;action_info xmlns=\""http://schemas.microsoft.com/sqlserver/2008/sqlaudit_data\""&gt;&lt;pooled_connection&gt;0&lt;/pooled_connection&gt;&lt;error&gt;0x00004818&lt;/error&gt;&lt;state&gt;58&lt;/state&gt;&lt;address&gt;10.23.23.9&lt;/address&gt;&lt;/action_info&gt;\nuser_defined_information:\n"",""Binary"":""""}}"
